343,8,Adini Yunan mitolojisindeki Ilham perisinden alan yer neresidir?,Galeri,Atolye,Tiyatro,Muze,D
344,1,Hangisi bir kisinin uzun sureden beri etrafta gorunmedigini ifade eder?,Kalb kalbe karsi,Yuzunu goren cennetlik,Ruzgar gibi gecti,Dunya donuyor,B
345,2,Hangisi halk arasinda dayinin esi cocuklari e kardesleri anlamindadir?,Dayilarim,Dayimgiller,Dayiminkiler,Dayim,B
346,3,El sikisirken yapilmaya devam eden pazarliklar hangi hayvanin adiyla anilir?,Keci,Deve,Koyun,Boga,C
347,1,Misafirin kullanmasi icin ozel olarak evde bulunan esya nedir?,Misafir Hirkasi,Misafir Sali,Misafir Mendili,Misafir Terligi,D
349,2,Hangisi hayal gucu anlamindadir?,Muasara,Muhayale,Munazara,Mutalaa,B
350,3,Receli ve serbeti yapilan buruk tatli kirmizi meyv nerdir?,Hunnap,Cagla,Kizilcik,Igde,C
351,4,Dinlediginiz sarkiyi kim seslendirmektedir?,Cem Karaca,Ekin Koray,Alpay,Ilhan Irem,A
352,5,TEM otoyolu ifadesindeki T ne demektir?,Trafik,Turkiye,Transit,Tarihi,C
353,6,Lostra salonundaki lostra ne demektir?,Ayakkabi Dikme,Ayakkabi Boyama,Ayakkabi Tamir,Ayakkabi Ismarlama,B
354,1,Bir konuda gec kalindigi ifade edilirken nerede sabah oldu denilir?,Uskudar,Kalamis,Heybeli,Camlica,A
355,2,Gobekli erkeklerin gobegi genellikle neye benzetilir?,Ayva,Karpuz,Balkon,Cumba,C
356,3,Uzerinde ziplanarak akrobatik hareketler yapilan yayli jimnastik araci nedir?,Parasaling,Barfiks,Trambolin,Kulplu Beygir,C
357,4,Sekerin karamelize edilmesiyle elde edilen pekmez gorunumlu eksi salata sosu hangi meyveden yapilir?,Portakal,Nar,Hurma,Seftali,B
358,5,TV'de dinlediginiz sarkiyi kim seslendirmektedir?,Muzeyyen Senar,Safiye Ayla,Behiye Aksoy,Muazzez Ersoy,A
359,6,Orumceklerin kac bacagi vardir?,6,8,10,12,B
360,1,Aileler kucuk cocuklari bir beden buyuk almaya ne diyerek ikna ederler?,Dokumlu Durur,Zayiflayinca giyersin,Kaliplari dar,Buyuyunce giyersin,D
361,2,Hangisi otogar demektir?,Mintika,Garaj,Tayyare,Sayfiye,B
362,3,Koyu pembe renkli tursusu olan salataya da konan  sebze nedir?,Pancar,Lahana,Havuc,Turp,A
363,4,Tropikal bolgelerde yasayan sirti dikenli genelde sabit duran kertenkele turu nedir?,Koala,Semender,Iguana,Armadilio,C
364,5,Bir masa uzerinde bulunan futbolcu maketlerini hareket ettirerek oynanan oyun hangisidir?,Go,Domino,Langirt,Tilt,C
365,6,Muzik yelpazasini suran efsane sunucu kimdir?,Orhan Boran,Halit Kivanc,Izzet Oz,Sezen Cumhur Onal,D
366,1,Hangisi ozellikle Turk filmlerinde anne icin yapilan bir benzetmedir?,Kralice,Melek,Sihirbaz,Denizkizi,B
367,2,Halk arasinda nazar buyu gibi durumlari onlemek icin genellikle hangisi yapilir?,Ayna kirmak,Tutsu yakmak,Kina yakmak,Kursun Dokturmek,D
368,3,Hangisi bir tur zeytin cinsidir?,Sele,Sepet,Kup,Sandik,A
369,4,Buzlanma veya karlanma yapmayan dondurma kapasitesi yuksek buzdolaplarina ne denir?,Fiber optik,Hibrit,No frost,Ankastre,C
370,5,Deniz kiyilarinda yetisen ozellikle balik lokantalarinda salatasi satilan deniz bitkisi nedir?,Borulce,Kuskus,Bakla,Marul,A
371,6,Soguga dayanakli renkli cicekler acan guzel kokulu bitki nedir?,Ortanca,Lale,Hanimeli,Leylak,D
372,7,TV'de dinlediginiz One Way ticket sarkisini hangi grup seslendirmektedir?,U2,Bee Gees,ABBA,Boney M,D
373,8,Alfred Hitchcock hangi filmi icin uyarladigi kitabi cok sayida satin alip sonunu ogrenilmesini engellemek istemistir?,Sapik,Halka,Kuslar,Arka Pencere,A
374,9,Mezar tasinda gokyuzunu olcerdim simdi dunyanin golgelerini olcecegim yazan bilim adami kimdir?,Kepler,Kopernik,Galileo,Newton,A
375,7,TV'de dinlediginiz 'Katip arzuhalim yaz yare boyle' turkusunun sozleri kime aittir?,Arif Sag,Pir Sultan Abdal,Karacaoglan,Dadaloglu,B
376,1,Fellik fellik aramak ne demektir?,Hirsla Aramak,Telasla Aramak,Dikkatlice Aramak,Sabirla Aramak,B
377,2,Nerelisin sorusundan hemen sonra hangisini sormak adettendir?,Kiyisindan mi?,Icinden mi?,Sahibinden mi?,Kiyisindan mi?,B
378,3,Pul zarfin neresine yapistirilir?,Sag ust kose,Sol ust kose,Sag alt kose,Sol alt kcse,A
379,4,Ozellikle 80li yillarda bir cok kisinin evinde olan sedir minder gibi esyalarin bulundugu koseye ne denir?,Amerikan bar,Kis bahcesi,Sark kosesi,Fiskos kosesi,C
380,5,Asirlik sozu ozellikle hangi agac icin kullanilir?,Mese,Kavak,Sogut,Cinar,D
381,6,Gectigimiz gunlerde gazeticilere tahti beklerken olecegim diyen velhat kimdir?,Prens Henry,Prens Edward,Prens Albert,PrensCharles,D
382,7,TV'de dinlediginiz 'Haydi Abbas..' diye baslayan siir hangi saire aittir?,Cahit Sitki Taranci,Orhan Veli Kanik,Fuzuli,Ahmet Hamdi Tanpinar,A
383,8,Hitchcock'un Kuslar filmi afisinde de yer alan ve filmde cokca gorulen kus turu nedir?,Sigircik,Guvercin,Karga,Kirlangic,C
384,9,Balmumundan heykellerin yer aldigi Madame Tussauds muzesinin sahibi Madame Tussauds'un heykelini yaptigi ilk unlu kimdir?,Robin Hood,Kralice Victoria,Voltaire,Charlie Chaplin,C
385,1,Arkaya dogru ilerleyelim hangi tasitta soylenir?,Taksi,Otobus,Ucak,Vapur,B
386,2,Bize de soyleyin biz de gulelim sozunu kim soyler?,Ogretmen,Hakim,Polis,Gazeteci,A
387,3,TV'de dinlediginiz ses nereye aittir?,Stadyum,Sirk,Pazar,Lunapark,C
388,4,Dallari ve yapraklari yere sarkan sogut agaci nedir?,Sarmasik,Yabani,Bodur,Salkim,D
389,5,Bir kita siir okudugunuzda kac dize okumus olursunuz?,2,4,6,8,B
390,6,Satir ve sutunlarin basinda yazan rakam kadar kutunun boyanmasiyla resim olusan oyun nedir?,Mayin tarlasi,Tetris,Kare karalamaca,Amiral batti,C
391,7,Avrupa Birligi donem baskanliginin suresi ne kadardir?,6 ay,1 yil,2 yil,5 yil,A
392,8,Atomun %99'unu hangisi olusturur?,Cekirdek,Proton,Bosluk,Notron,C
393,9,Hangisi bir bitkidir?,Yalicapkini,Havaciva,Denizhiyari,Suleymancik,B
394,1,Bircok isin ayni anda yapilmasiyla olusan durum 9 ayin hangi gunuyle ifade edilir?,Pazartesi,Carsamba,Cuma,Pazar,B
395,1,Iyi ve dogru olmanin dis gorunusten ustunlugunu ne ifade eder?,Yufka yurek,Akil sagligi,Ic guzelligi,Altyapi,C
396,2,Erkekler uzun uzun sikilmdadn hangisini anlatmayi sever?,Askerlik anilari,Mac anilari,Cocukluk anilari,Tatil anilari,A
397,3,Cep telefonunda pilin azalma rengi nedir?,Yesil,Mavi,Sari,Kirmizi,D
398,4,Eskiden mektuplarda acele cevap bekledigi nasil ifade edilirdi?,Kestane kebap,Zehir zemberek,Palas pandiras,Deli divane,A
399,5,Bilgisayarda programi ne simgeler?,Link,Ikon,Profil,Host,B
400,6,Halk arasinda kullanilan soze gore tarihi kimler yazar?,Calisanlar,Dusunurler,Kazananlar,Politikacilar,C
401,7,TV'de dinlediginiz giris muzigi hangi unlu cizgi diziye aittir?,The Simpsons,Jetgiller,Sirinler,Tas Devri,A
402,8,Eski Amerikan baskani JFK'nin tam adi nedir?,John Frederick Kennedy,John Fitzgerald Kennedy,John Frank Kennedy,John Ford Kennedy,B
403,1,Misafirlikten kalkarken ne denir?,Gule gule oturun,Gelen gideni aratir,Bunu saymayiz,Bize de bekleriz,D
405,2,Hem masa ortusu hem cam bezi hem de kulah olarak kullanilan nedir?,Pecete,Poset,Gezete kagidi,Mendil,C
406,3,Daha cok eskiden kapi kapi gezerek kumas vs satan kadinlara ne denir?,Overlokcu,Bohcaci,Hallac,Kalayci,D
407,4,Bir kisiyi onemsiz saymak icin ne denir?,Fava,Keskek,Kaygana,Tirit,A
408,5,Dinlediginiz Rusca siiri okuyan tarihci kimdir?,Ilber Ortayli,Murat Belge,Murat Bardakci,Erdal Inonu,A
409,8,Yunanli rahip Lacoon Yunanlilardan korkuyorum ozellikle hediye getirdiklerinde ile ne demek istemistir?,Truva ati,Torino kefeni,Kader mizragi,Excalibur,A
410,4,Buyuk magza indirimli satis magazasi nedir?,Magaza,Outlet,Franchise,Tax Free,B
411,9,1910'da Osmanli Makedonyasinda dogup adi Agnes Gonca Boyaci olan kimdir?,Eva Braun,Rahibe Teresa,Coco Chanel,Mata Hari,B
412,10,Tum dunyada 5 milyon satan hangi roman yayinlanmadan 121 yayinevince reddedilip Guiness Rekorlar kitabina girmistir?,Otostopcunun Galaksi Rehberi,Ferrarisini Satan Bilge,Zen ve Motosiklet Bakim Sanati,Da Vinci Sifresi,C
413,11,Binlerce kisinini oldugu Panama kanali insaatinda calisan ressam kimdir?,Van Gogh,Paul Gauguin,Toulouse Lautrec,Gustav Klimt,D
420,7,Kartal kondu sozuyle tarihe gecen kimdir?,Neil Armstrong,Harry S. Truman,Maradona,General Patton,A
421,1,Duzgun giden bir isi bozmak anlaminda ne berbat edilir?,Bir cuval uzum,Bir cuval findik,Bir cuval elma,Bir cuval incir,D
422,2,Hangisi magazada pazarlik sirasinda soylenen musteri tarafindan soylenen klise sozdur?,Bize kaca olur,Musteri velinimetimizdir,Gelisi kurtarmaz,Ustu kalsin,A
423,3,Karsilikli duran iki kisinin yumak yaptiklari iplik demetlerine ne denir?,Gergef,Kuka,Makara,Cile,D
