343,8,Adini Yunan mitolojisindeki Ilham perisinden alan yer neresidir?,Galeri,Atolye,Tiyatro,Muze,D,13
344,1,Hangisi bir kisinin uzun sureden beri etrafta gorunmedigini ifade eder?,Kalb kalbe karsi,Yuzunu goren cennetlik,Ruzgar gibi gecti,Dunya donuyor,B,13
345,2,Hangisi halk arasinda dayinin esi cocuklari e kardesleri anlamindadir?,Dayilarim,Dayimgiller,Dayiminkiler,Dayim,B,13
346,3,El sikisirken yapilmaya devam eden pazarliklar hangi hayvanin adiyla anilir?,Keci,Deve,Koyun,Boga,C,13
347,1,Misafirin kullanmasi icin ozel olarak evde bulunan esya nedir?,Misafir Hirkasi,Misafir Sali,Misafir Mendili,Misafir Terligi,D,13
349,2,Hangisi hayal gucu anlamindadir?,Muasara,Muhayale,Munazara,Mutalaa,B,13
350,3,Receli ve serbeti yapilan buruk tatli kirmizi meyv nerdir?,Hunnap,Cagla,Kizilcik,Igde,C,13
351,4,Dinlediginiz sarkiyi kim seslendirmektedir?,Cem Karaca,Ekin Koray,Alpay,Ilhan Irem,A,13
352,5,TEM otoyolu ifadesindeki T ne demektir?,Trafik,Turkiye,Transit,Tarihi,C,13
353,6,Lostra salonundaki lostra ne demektir?,Ayakkabi Dikme,Ayakkabi Boyama,Ayakkabi Tamir,Ayakkabi Ismarlama,B,13
354,1,Bir konuda gec kalindigi ifade edilirken nerede sabah oldu denilir?,Uskudar,Kalamis,Heybeli,Camlica,A,13
355,2,Gobekli erkeklerin gobegi genellikle neye benzetilir?,Ayva,Karpuz,Balkon,Cumba,C,13
356,3,Uzerinde ziplanarak akrobatik hareketler yapilan yayli jimnastik araci nedir?,Parasaling,Barfiks,Trambolin,Kulplu Beygir,C,13
357,4,Sekerin karamelize edilmesiyle elde edilen pekmez gorunumlu eksi salata sosu hangi meyveden yapilir?,Portakal,Nar,Hurma,Seftali,B,13
358,5,TV'de dinlediginiz sarkiyi kim seslendirmektedir?,Muzeyyen Senar,Safiye Ayla,Behiye Aksoy,Muazzez Ersoy,A,13
359,6,Orumceklerin kac bacagi vardir?,6,8,10,12,B,13
360,1,Aileler kucuk cocuklari bir beden buyuk almaya ne diyerek ikna ederler?,Dokumlu Durur,Zayiflayinca giyersin,Kaliplari dar,Buyuyunce giyersin,D,13
361,2,Hangisi otogar demektir?,Mintika,Garaj,Tayyare,Sayfiye,B,13
362,3,Koyu pembe renkli tursusu olan salataya da konan  sebze nedir?,Pancar,Lahana,Havuc,Turp,A,13
363,4,Tropikal bolgelerde yasayan sirti dikenli genelde sabit duran kertenkele turu nedir?,Koala,Semender,Iguana,Armadilio,C,13
364,5,Bir masa uzerinde bulunan futbolcu maketlerini hareket ettirerek oynanan oyun hangisidir?,Go,Domino,Langirt,Tilt,C,13
365,6,Muzik yelpazasini suran efsane sunucu kimdir?,Orhan Boran,Halit Kivanc,Izzet Oz,Sezen Cumhur Onal,D,13
366,1,Hangisi ozellikle Turk filmlerinde anne icin yapilan bir benzetmedir?,Kralice,Melek,Sihirbaz,Denizkizi,B,13
367,2,Halk arasinda nazar buyu gibi durumlari onlemek icin genellikle hangisi yapilir?,Ayna kirmak,Tutsu yakmak,Kina yakmak,Kursun Dokturmek,D,13
368,3,Hangisi bir tur zeytin cinsidir?,Sele,Sepet,Kup,Sandik,A,13
369,4,Buzlanma veya karlanma yapmayan dondurma kapasitesi yuksek buzdolaplarina ne denir?,Fiber optik,Hibrit,No frost,Ankastre,C,13
370,5,Deniz kiyilarinda yetisen ozellikle balik lokantalarinda salatasi satilan deniz bitkisi nedir?,Borulce,Kuskus,Bakla,Marul,A,13
371,6,Soguga dayanakli renkli cicekler acan guzel kokulu bitki nedir?,Ortanca,Lale,Hanimeli,Leylak,D,13
372,7,TV'de dinlediginiz One Way ticket sarkisini hangi grup seslendirmektedir?,U2,Bee Gees,ABBA,Boney M,D,13
373,8,Alfred Hitchcock hangi filmi icin uyarladigi kitabi cok sayida satin alip sonunu ogrenilmesini engellemek istemistir?,Sapik,Halka,Kuslar,Arka Pencere,A,13
374,9,Mezar tasinda gokyuzunu olcerdim simdi dunyanin golgelerini olcecegim yazan bilim adami kimdir?,Kepler,Kopernik,Galileo,Newton,A,13
375,7,TV'de dinlediginiz 'Katip arzuhalim yaz yare boyle' turkusunun sozleri kime aittir?,Arif Sag,Pir Sultan Abdal,Karacaoglan,Dadaloglu,B,14
376,1,Fellik fellik aramak ne demektir?,Hirsla Aramak,Telasla Aramak,Dikkatlice Aramak,Sabirla Aramak,B,14
377,2,Nerelisin sorusundan hemen sonra hangisini sormak adettendir?,Kiyisindan mi?,Icinden mi?,Sahibinden mi?,Kiyisindan mi?,B,14
378,3,Pul zarfin neresine yapistirilir?,Sag ust kose,Sol ust kose,Sag alt kose,Sol alt kcse,A,14
379,4,Ozellikle 80li yillarda bir cok kisinin evinde olan sedir minder gibi esyalarin bulundugu koseye ne denir?,Amerikan bar,Kis bahcesi,Sark kosesi,Fiskos kosesi,C,14
380,5,Asirlik sozu ozellikle hangi agac icin kullanilir?,Mese,Kavak,Sogut,Cinar,D,14
381,6,Gectigimiz gunlerde gazeticilere tahti beklerken olecegim diyen velhat kimdir?,Prens Henry,Prens Edward,Prens Albert,PrensCharles,D,14
382,7,TV'de dinlediginiz 'Haydi Abbas..' diye baslayan siir hangi saire aittir?,Cahit Sitki Taranci,Orhan Veli Kanik,Fuzuli,Ahmet Hamdi Tanpinar,A,14
383,8,Hitchcock'un Kuslar filmi afisinde de yer alan ve filmde cokca gorulen kus turu nedir?,Sigircik,Guvercin,Karga,Kirlangic,C,14
384,9,Balmumundan heykellerin yer aldigi Madame Tussauds muzesinin sahibi Madame Tussauds'un heykelini yaptigi ilk unlu kimdir?,Robin Hood,Kralice Victoria,Voltaire,Charlie Chaplin,C,15
385,1,Arkaya dogru ilerleyelim hangi tasitta soylenir?,Taksi,Otobus,Ucak,Vapur,B,15
386,2,Bize de soyleyin biz de gulelim sozunu kim soyler?,Ogretmen,Hakim,Polis,Gazeteci,A,15
387,3,TV'de dinlediginiz ses nereye aittir?,Stadyum,Sirk,Pazar,Lunapark,C,15
388,4,Dallari ve yapraklari yere sarkan sogut agaci nedir?,Sarmasik,Yabani,Bodur,Salkim,D,15
389,5,Bir kita siir okudugunuzda kac dize okumus olursunuz?,2,4,6,8,B,15
